id,name,owner_id,created_at,updated_at,invitation_code
5b2d7c72-77ac-4742-b94b-59a4c074f765,Personal Team,93698e00-bc8f-4966-aacd-5fd34a8bc3f7,2025-12-15 18:33:15.607387+00,2025-12-15 18:33:15.607387+00,c94842a3a90
6040bf8d-cc99-40f1-8f08-1ca17ae6dc3d,Marketing,5610e481-186e-4ec1-89aa-775c5214bdfc,2025-12-15 18:22:01+00,2025-12-15 18:22:07+00,7615da202f5
a6863edc-5020-4763-ba00-58e2ce1ddf8f,Marketing,99c676fd-3c66-4b26-a9e3-a0c41c271ca4,2025-12-15 17:33:29.186479+00,2025-12-15 17:33:29.186479+00,43ae0e85fa4
